occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.114
1,0.1,0.503,0.503,0,0,0,0,0,0.381,0.542,0,0,0.16
0.75,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.116
0.75,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.303
0.75,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0
0.5,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0
0.75,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.0434
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.0868
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.13
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.217
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.13
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.0434
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0
0.25,0.148,0.392,0.392,0,0,1,0,0,0.291,0.56,0.336,0,0
0.25,0.148,0.392,0.392,0,0,1,0,0,0.291,0.56,0.793,0,0
0.25,0.149,0.433,0.433,0,0.5,0.7,0,0,0.302,0.555,0.172,0,0
0.25,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0.0434
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.0434
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0
0.5,0.319,0.545,0.545,0.0288,0,0,0,0,0.402,0.682,0,0,0
0.5,0.319,0.545,0.545,0.0288,0,0,0,0,0.402,0.682,0,0,0.0434
0.5,0.414,0.741,0.741,0.346,0,0,0,0,0.499,0.72,0,0,0.0434
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.13
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.13
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.0868
0.5,0.525,0.937,0.937,0.683,0,0.5,0,0,0.597,0.701,0.282,0,0.0868
0.75,0.762,0.937,0.937,0.683,0,1,0,0,0.767,0.819,0.494,0,0
0.75,0.645,0.993,0.993,1,0,1,0,0,0.809,0.777,0.638,0,0.13
0.75,0.645,0.993,0.993,1,0,0.2,0,0,0.809,0.777,0.497,0,0.0434
1,0.491,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0.394,0,0
1,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0.58,0,0
