occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.5,0.0679,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
0.75,0.0865,0.559,0.559,0,0,0,0,0,0.409,0.56,0,0,0.194
0.75,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.219
0.75,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.601,0.601,0,0.467,0,0,0,0.258,0.465,0,0,0
1,0.126,0.601,0.601,0,1,0.4,0,0,0.344,0.522,0,0,0
0.75,0.149,0.657,0.657,0,0.0667,1,0,0,0.358,0.546,0.251,0,0
0.75,0.149,0.657,0.657,0,0,1,0,0,0.358,0.546,1,0,0.119
0.75,0.369,0.475,0.475,0,0,0.833,0,0,0.421,0.72,0.448,0,0.3
0.75,0.369,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0.0771
0.75,0.379,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0.0884
0.75,0.379,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0
0.75,0.369,0.336,0.336,0,0,0,0,0,0.316,0.72,0,0,0.139
0.75,0.369,0.336,0.336,0,0,0,0,0,0.316,0.72,0,0,0.261
0.5,0.253,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.164
0.5,0.253,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.273
0.5,0.247,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0
0.5,0.247,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0.109
0.5,0.245,0.392,0.392,0,0,0,0,0,0.325,0.654,0,0,0.164
0.5,0.245,0.392,0.392,0,0,0,0,0,0.325,0.654,0,0,0.164
0.5,0.15,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0.219
0.5,0.25,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0.241
0.5,0.278,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.224
0.5,0.278,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.0191
0.5,0.345,0.545,0.545,0.0288,0.967,0,0,0,0.402,0.682,0,0,0.169
0.5,0.345,0.545,0.545,0.0288,0.0667,0,0,0,0.402,0.682,0,0,0.167
0.75,0.648,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.16
0.75,0.648,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.13
1,0.999,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0,0,0.0546
0.75,0.762,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.0546
0.75,0.733,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.328
0.75,0.733,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0.193,0.109
0.75,0.589,0.993,0.993,1,0,0,0.3,0.167,0.809,0.777,0,0.529,0
0.75,0.409,0.993,0.993,1,0,0,0.167,1,0.625,0.673,0,0.0276,0
0.75,0.315,0.965,0.965,0.679,0,0,0,1,0.611,0.654,0,0,0
0.75,0.182,0.965,0.965,0.679,0,0,0,1,0.435,0.56,0,0,0
0.75,0.164,0.825,0.825,0.132,0,0,0,1,0.4,0.536,0,0,0.116
1,0.279,0.825,0.825,0.132,0.467,0,0,1,0.541,0.607,0,0,0
1,0.0992,0.699,0.699,0.0658,0.0333,0,0,0.267,0.368,0.518,0,0,0.109
1,0.0992,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0
1,0.0679,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.273
1,0.0679,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0.154,0.0546
1,0.0556,0.517,0.517,0,0,0,0.3,0.167,0.323,0.504,0,0,0
1,0.0494,0.517,0.517,0,0,0,0.167,1,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,1,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.111
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.406
1,0.126,0.601,0.601,0,0.967,0,0,0,0.344,0.522,0,0,0
1,0.149,0.657,0.657,0,0.567,0,0,0,0.358,0.546,0,0,0
1,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0
0.75,0.0494,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0494,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.159,0.322,0.322,0,0.467,0,0,0,0.274,0.55,0,0,0
0.75,0.159,0.322,0.322,0,1,0,0,0,0.274,0.55,0,0,0.332
0.75,0.263,0.336,0.336,0,0.0667,0,0,0,0.297,0.635,0,0,0.543
0.5,0.156,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0
0.5,0.151,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.324
0.5,0.151,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.0429
0.5,0.148,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0
0.5,0.148,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.0546
0.5,0.245,0.392,0.392,0,0,0,0,0,0.325,0.654,0,0,0.0546
0.5,0.245,0.392,0.392,0,0,0,0,0,0.325,0.654,0,0,0
0.5,0.25,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0
0.5,0.25,0.433,0.433,0,0.467,0,0,0,0.346,0.645,0,0,0
0.5,0.278,0.447,0.447,0,0.0333,0,0,0,0.353,0.664,0,0,0
0.5,0.278,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.0546
0.5,0.345,0.545,0.545,0.0288,0.467,0,0,0,0.402,0.682,0,0,0
0.5,0.345,0.545,0.545,0.0288,0.567,0,0,0,0.402,0.682,0,0,0.219
0.75,0.448,0.741,0.741,0.346,0,0,0,0,0.499,0.72,0,0,0.109
0.75,0.648,0.741,0.741,0.346,0.5,0,0,0,0.62,0.847,0,0,0.382
0.75,0.762,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0
