occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.5,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
0.5,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
0.5,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0.244,0
0.5,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0.66,0
0.75,0.126,0.601,0.601,0,0,0,0.967,0.767,0.344,0.522,0,0.185,0
0.75,0.126,0.601,0.601,0,0,0,0.467,0.3,0.344,0.522,0,0.22,0
0.75,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0.259,0
0.75,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0.277,0
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0.638,0
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0.236,0
0.75,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0.568,0
0.75,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0.421,0.0551
0.5,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0.462,0.0551
0.5,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0.593,0
0.5,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0.6,0
0.5,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0.476,0.165
1,0.446,0.336,0.336,0,0,0,0,0,0.336,0.843,0,0.309,0
1,0.446,0.336,0.336,0,0,0,0,0,0.336,0.843,0,0.593,0.0551
0.75,0.344,0.392,0.392,0,0.333,0,0,0,0.358,0.749,0,0,0.22
0.75,0.344,0.392,0.392,0,0.167,0,0,0,0.358,0.749,0,0,0.0551
0.5,0.249,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0.146,0.0551
0.5,0.249,0.433,0.433,0,0,0,0.467,0.267,0.346,0.645,0,0.245,0.0551
0.5,0.267,0.447,0.447,0,0,0,0.967,0.8,0.353,0.664,0,0.549,0.0551
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.33
0.5,0.319,0.545,0.545,0.0288,0.333,0,0,0,0.402,0.682,0,0,0.11
0.75,0.453,0.545,0.545,0.0288,1,0,0,0,0.473,0.791,0,0,0.11
1,0.779,0.741,0.741,0.346,0.2,0,0,0,0.741,0.974,0,0,0
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.33
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.165
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.165
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0,0,0.278
1,0.843,0.993,0.993,1,0,0.833,0,0,0.993,0.88,0.644,0,0
0.75,0.645,0.993,0.993,1,0,0.233,0,0,0.809,0.777,0,0,0.18
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0.0551
0.75,0.197,0.965,0.965,0.679,0,0,0,0,0.435,0.56,0,0,0.0551
0.75,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.275
0.75,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.146
1,0.15,0.699,0.699,0.0658,0,0,0,0,0.478,0.57,0,0,0
1,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0.165
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0551
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
