occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.75,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.187
0.75,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.155
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.111
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.319,0.494,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.601,0.601,0,0,0,0,0,0.258,0.465,0,0,0.128
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.556
0.75,0.149,0.657,0.657,0,0,0.367,0,0,0.358,0.546,0,0,0
1,0.349,0.657,0.657,0,0,1,0,0,0.557,0.706,0.363,0,0
1,0.477,0.475,0.475,0,0,1,0,0,0.475,0.806,0.384,0,0.282
1,0.477,0.475,0.475,0,0.6,0.333,0,0,0.475,0.806,0.56,0,0.162
1,0.491,0.322,0.322,0,0.933,0,0,0,0.322,0.806,0.613,0,0
1,0.491,0.322,0.322,0,0,0,0,0,0.322,0.806,0.499,0,0.166
1,0.477,0.336,0.336,0,0,0,0,0,0.336,0.806,0.672,0,0
1,0.477,0.336,0.336,0,0.6,0,0,0,0.336,0.806,0.309,0,0.297
1,0.459,0.35,0.35,0,1,0,0,0,0.35,0.824,0.643,0,0.163
