occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0678,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0678,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.059
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.059
1,0.0493,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.157
1,0.125,0.601,0.601,0,0.5,0,0,0,0.344,0.522,0,0,0.114
1,0.125,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.0654
0.75,0.248,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.123
0.5,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
0.25,0.0493,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0493,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.159,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0
0.25,0.159,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0
0.25,0.156,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0
0.25,0.156,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0
0.25,0.151,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.118
0.25,0.151,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0
0.25,0.148,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0
0.25,0.148,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.059
0.25,0.147,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.118
0.5,0.147,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.059
0.5,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0.059
0.5,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0.059
0.5,0.162,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0
0.5,0.162,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0.118
0.5,0.194,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0.273
0.5,0.194,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0.236
0.5,0.245,0.741,0.741,0.346,0.267,0,0,0,0.379,0.593,0,0,0.059
0.5,0.245,0.741,0.741,0.346,1,0,0,0,0.379,0.593,0,0,0.531
0.75,0.521,0.881,0.881,0.593,0.8,0,0,0,0.569,0.729,0,0,0.118
0.75,0.521,0.881,0.881,0.593,0,0,0,0,0.569,0.729,0,0,0.118
0.75,0.509,0.937,0.937,0.683,0,0.967,0,0,0.597,0.701,0,0,0.118
0.75,0.509,0.937,0.937,0.683,0,1,0,0,0.597,0.701,0.529,0,0.059
0.75,0.416,0.993,0.993,1,0,1,0,0,0.625,0.673,0.738,0,0.177
0.75,0.416,0.993,0.993,1,0,0.267,0,0,0.625,0.673,0.259,0,0.0276
0.75,0.184,0.965,0.965,0.679,0,0,0,0,0.435,0.56,0,0,0.114
1,0.184,0.965,0.965,0.679,0,0,0,0,0.435,0.56,0,0,0.549
1,0.166,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.264
1,0.166,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.275
1,0.0991,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0.108
1,0.0991,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0.059
1,0.0863,0.559,0.559,0,0,0,0,0,0.409,0.56,0,0,0.0312
1,0.0678,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.125
1,0.0555,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0493,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0493,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0.0757
0.75,0.0507,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0.0287
0.75,0.0746,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.043
0.75,0.0999,0.503,0.503,0,0,0,0,0,0.381,0.542,0,0,0.0812
0.5,0.125,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.0653
0.5,0.125,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.0621
0.5,0.248,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.171
0.5,0.248,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.209
0.5,0.262,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.605
0.5,0.262,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.0308
