occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.75,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
0.75,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0598
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.359
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.12
1,0.051,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0
0.75,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0.167,0,0,0,0.258,0.465,0,0,0
0.75,0.126,0.601,0.601,0,0.867,0,0,0,0.344,0.522,0,0,0.165
0.75,0.126,0.601,0.601,0,0.167,0,0,0,0.344,0.522,0,0,0
0.75,0.349,0.657,0.657,0,1,0,0,0,0.557,0.706,0,0,0.11
0.5,0.249,0.657,0.657,0,1,0,0,0,0.457,0.626,0,0,0
0.5,0.264,0.475,0.475,0,1,0,0,0,0.367,0.635,0,0,0.0598
0.25,0.157,0.475,0.475,0,1,0,0,0,0.312,0.55,0,0,0
0.5,0.27,0.322,0.322,0,1,0,0,0,0.29,0.635,0,0,0
0.5,0.27,0.322,0.322,0,1,0,0,0,0.29,0.635,0,0,0
0.75,0.371,0.336,0.336,0,1,0,0,0,0.316,0.72,0,0,0.239
0.75,0.371,0.336,0.336,0,1,0,0,0,0.316,0.72,0.188,0,0
0.75,0.357,0.35,0.35,0,1,0.8,0,0,0.327,0.735,0.661,0,0.12
0.75,0.357,0.35,0.35,0,0.667,1,0,0,0.327,0.735,0.203,0,0
0.75,0.347,0.336,0.336,0,0,0.9,0.267,0,0.316,0.749,0.328,0,0.239
0.75,0.347,0.336,0.336,0,0,0,1,0,0.316,0.749,0.57,0.345,0
0.75,0.344,0.392,0.392,0,0,0,0.667,0,0.358,0.749,0.484,0.247,0.0598
0.75,0.344,0.392,0.392,0,0,0,0,0.667,0.358,0.749,0,0.352,0.299
0.75,0.349,0.433,0.433,0,0,0,0,1,0.39,0.735,0,0.167,0
0.75,0.349,0.433,0.433,0,0,0,0.267,0.5,0.39,0.735,0,0,0.179
0.75,0.378,0.447,0.447,0,0.167,0,0.2,0.133,0.4,0.763,0,0.118,0.0598
1,0.488,0.447,0.447,0,1,0,0,1,0.447,0.862,0,0.195,0
1,0.596,0.545,0.545,0.0288,1,0,0,1,0.545,0.899,0,0,0
1,0.596,0.545,0.545,0.0288,0.933,0,0,0.0333,0.545,0.899,0,0,0
1,0.791,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.12
1,0.791,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.0598
1,0.976,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0,0,0
1,0.976,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0,0,0.179
0.75,0.759,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.12
0.75,0.759,0.937,0.937,0.683,0,0.3,0,0,0.767,0.819,0.531,0,0
1,0.832,0.993,0.993,1,0,1,0,0,0.993,0.88,0.497,0,0.26
1,0.832,0.993,0.993,1,0,1,0,0,0.993,0.88,0,0,0.369
1,0.628,0.965,0.965,0.679,0,0.4,0,0,0.965,0.843,0,0,0.359
1,0.484,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.146
1,0.296,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0
1,0.296,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0.12
1,0.15,0.699,0.699,0.0658,0,0,0,0,0.478,0.57,0,0,0
1,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.179
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0598
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.239
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.16
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.0458
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.206
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.507
1,0.349,0.657,0.657,0,0,0,0,0,0.557,0.706,0,0,0.0903
1,0.449,0.657,0.657,0,0,0,0,0,0.657,0.787,0,0,0.206
0.75,0.371,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0.366
0.75,0.371,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0
0.75,0.381,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0.193
0.75,0.381,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0
0.75,0.371,0.336,0.336,0,0,0,0,0,0.316,0.72,0,0,0
0.25,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0
0.25,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.299
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0
0.5,0.248,0.336,0.336,0,0,0.3,0,0,0.297,0.654,0.628,0,0.0598
0.5,0.248,0.336,0.336,0,0,1,0,0,0.297,0.654,0.51,0,0.0598
0.25,0.148,0.392,0.392,0,0,0.3,0,0,0.291,0.56,0,0,0.216
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.335
0.5,0.249,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0.285
0.25,0.149,0.433,0.433,0,0.167,0,0,0,0.302,0.555,0,0,0.0598
0.25,0.159,0.447,0.447,0,1,0,0,0,0.305,0.564,0,0,0.0598
0.25,0.159,0.447,0.447,0,1,0,0,0,0.305,0.564,0,0,0
0.75,0.46,0.545,0.545,0.0288,1,0,0,0,0.473,0.791,0,0,0.12
0.75,0.46,0.545,0.545,0.0288,1,0,0,0,0.473,0.791,0,0,0.12
1,0.791,0.741,0.741,0.346,0.5,0,0,0,0.741,0.974,0,0,0.0598
0.75,0.605,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.0598
0.75,0.744,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.0598
0.75,0.744,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.12
0.75,0.759,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.0598
1,0.996,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0,0,0
1,0.832,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.832,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0.162
1,0.628,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0
1,0.628,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0.0598
1,0.419,0.825,0.825,0.132,0,0,0,0,0.683,0.678,0,0,0
1,0.173,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.12
1,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0
1,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.179
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.141
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.051,0.461,0.461,0,0.667,0,0,0,0.309,0.499,0,0,0
1,0.051,0.461,0.461,0,0.367,0,0,0,0.309,0.499,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0.101
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
0.75,0.349,0.657,0.657,0,0,0,0,0,0.557,0.706,0,0,0
0.5,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.211
0.5,0.264,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.0598
0.5,0.264,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.149
0.5,0.27,0.322,0.322,0,0.167,0,0.267,0,0.29,0.635,0,0,0.179
0.5,0.27,0.322,0.322,0,1,0,1,0,0.29,0.635,0,0.369,0.188
0.5,0.264,0.336,0.336,0,1,0,1,0,0.297,0.635,0,0,0.322
0.5,0.264,0.336,0.336,0,0.933,0,0.133,0.2,0.297,0.635,0,0,0.0915
0.5,0.254,0.35,0.35,0,0,0,0,1,0.304,0.645,0,0,0.173
0.5,0.254,0.35,0.35,0,0,0,0,1,0.304,0.645,0,0,0
0.5,0.248,0.336,0.336,0,0,0,0,1,0.297,0.654,0,0,0.0598
0.5,0.248,0.336,0.336,0,0,0,0,0.0667,0.297,0.654,0,0,0
0.5,0.246,0.392,0.392,0,0,0,0,0,0.325,0.654,0,0,0
0.5,0.246,0.392,0.392,0,0.667,0,0,0,0.325,0.654,0,0,0.0598
