occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.318
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.127
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.1,0.503,0.503,0,0.5,0,0,0,0.381,0.542,0,0,0
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
0.75,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.104
0.5,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
0.25,0.0496,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0.169
0.25,0.0496,0.475,0.475,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0496,0.322,0.322,0,0,0,0,0,0.258,0.465,0,0,0.158
0.25,0.0496,0.322,0.322,0,0,0,0,0,0.258,0.465,0,0,0.158
0.25,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.211
0.25,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.105
0.25,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0
0.25,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.0526
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0
0.25,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0
0.5,0.249,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0.0526
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0.105
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.202
0.75,0.453,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0.125
0.75,0.319,0.545,0.545,0.0288,0,0,0,0,0.402,0.682,0,0,0.271
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.116
0.5,0.414,0.741,0.741,0.346,0,0,0,0,0.499,0.72,0,0,0.211
0.25,0.279,0.881,0.881,0.593,0,0,0,0,0.414,0.597,0,0,0.0526
0.5,0.509,0.881,0.881,0.593,0.967,0,0,0,0.569,0.729,0,0,0.263
0.75,0.762,0.937,0.937,0.683,0.0667,0,0,0,0.767,0.819,0,0,0.105
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.158
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0.316
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0.316
0.75,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.105
0.75,0.0496,0.825,0.825,0.132,0,0,0,0,0.258,0.465,0,0,0.0526
0.75,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0.0526
0.75,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0.105
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.0797
0.75,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
0.75,0.279,0.601,0.601,0,0,0,0,0,0.515,0.636,0,0,0.288
0.5,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.0851
0.5,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.176
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.0454
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.114
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.189
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.0526
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.196
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.764
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.409
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.264
0.5,0.248,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0
0.5,0.248,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0.263
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.105
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.105
0.5,0.249,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0.105
0.5,0.249,0.433,0.433,0,0,0,0,0,0.346,0.645,0,0,0.158
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0
0.25,0.158,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0.0526
0.25,0.184,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0.211
0.25,0.184,0.545,0.545,0.0288,0,0.267,0,0,0.33,0.574,0.252,0,0.211
0.75,0.597,0.741,0.741,0.346,0,0.267,0,0,0.62,0.847,0.561,0,0.124
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0.324,0,0.158
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0.496,0,0.3
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0.595,0,0.27
1,1,0.937,0.937,0.683,0.467,0,0,0,0.937,0.937,0,0,0.131
1,1,0.937,0.937,0.683,0.0333,0,0,0,0.937,0.937,0,0,0.179
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0.124
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0
1,0.424,0.825,0.825,0.132,0,0,0,0,0.683,0.678,0,0,0.0526
1,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0
1,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0.0526
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.0526
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0526
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.211
