occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.107
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.107
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0533
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0505,0.461,0.461,0,0,0,0,0,0.292,0.488,0,0,0
1,0.0505,0.461,0.461,0,0,0,0,0,0.292,0.488,0,0,0
1,0.0834,0.503,0.503,0,0.5,0,0,0,0.34,0.516,0,0,0
1,0.1,0.503,0.503,0,0,0,0,0,0.381,0.542,0,0,0.17
1,0.253,0.601,0.601,0,0,0,0,0,0.487,0.617,0,0,0.171
0.667,0.151,0.601,0.601,0,0,0,0,0,0.372,0.541,0,0,0
0.833,0.316,0.657,0.657,0,0.5,0,0,0,0.524,0.68,0,0,0.336
0.667,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.11
0.667,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.107
0.667,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.376
0.667,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.258
0.667,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.254
0.667,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.202
0.667,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.2
0.667,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.217
0.667,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.252
0.667,0.314,0.336,0.336,0,0.367,0,0,0,0.31,0.717,0,0,0.134
0.667,0.314,0.336,0.336,0,1,0,0,0,0.31,0.717,0,0,0.167
0.667,0.311,0.392,0.392,0,0.7,0,0,0,0.347,0.717,0,0,0.068
0.667,0.311,0.392,0.392,0,0,0,0.4,0.167,0.347,0.717,0,0.383,0.017
0.667,0.315,0.433,0.433,0,0.367,0,0.0667,1,0.375,0.705,0,0.0257,0
0.667,0.315,0.433,0.433,0,1,0,0,1,0.375,0.705,0,0.443,0.32
0.5,0.267,0.447,0.447,0,1,0,0,0,0.353,0.664,0,0.248,0.107
0.667,0.34,0.447,0.447,0,1,0,0,0,0.384,0.73,0,0.456,0
0.667,0.409,0.545,0.545,0.0288,0.233,0,0,0,0.449,0.755,0,0.298,0.0533
0.5,0.319,0.545,0.545,0.0288,0.867,0,0,0,0.402,0.682,0,0.655,0.32
0.667,0.536,0.741,0.741,0.346,0.167,0.267,0,0,0.58,0.805,0.216,0.512,0.32
0.833,0.657,0.741,0.741,0.346,0,0.267,0,0,0.661,0.889,0.538,0,0.0533
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0.489,0,0
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0.746,0,0.107
1,1,0.937,0.937,0.683,0,0.267,0,0,0.937,0.937,0.407,0,0.0533
1,1,0.937,0.937,0.683,0,0.267,0,0,0.937,0.937,0.713,0,0.373
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0.544,0,0.426
1,0.843,0.993,0.993,1,0,0.267,0,0,0.993,0.88,0.164,0,0.266
1,0.638,0.965,0.965,0.679,0,0.267,0,0,0.965,0.843,0.628,0,0.358
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0.219,0,0.0381
1,0.383,0.825,0.825,0.132,0,0,0,0,0.636,0.655,0,0,0
1,0.383,0.825,0.825,0.132,0,0,0,0,0.636,0.655,0,0,0
1,0.15,0.699,0.699,0.0658,0,0,0,0,0.478,0.57,0,0,0.139
1,0.116,0.699,0.699,0.0658,0,0,0,0,0.405,0.535,0,0,0.0533
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.16
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0533
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.0533
