occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.421
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0602
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.051,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0
0.75,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.0644
0.75,0.1,0.503,0.503,0,0,0,0,0,0.381,0.542,0,0,0.278
0.75,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
1,0.279,0.601,0.601,0,0,0,0,0,0.515,0.636,0,0,0.552
1,0.449,0.657,0.657,0,0,0,0,0,0.657,0.787,0,0,0
0.5,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.148
0.25,0.157,0.475,0.475,0,0,0,0,0,0.312,0.55,0,0,0
0.25,0.157,0.475,0.475,0,0,0,0,0,0.312,0.55,0,0,0
0.25,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0.301
0.25,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0.361
0.25,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0496,0.35,0.35,0,0,0,0,0,0.258,0.465,0,0,0.0602
0.25,0.0496,0.35,0.35,0,0,0,0,0,0.258,0.465,0,0,0.0602
0.25,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.0602
0.25,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0496,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0.12
0.5,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.0602
0.25,0.0496,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0.18
0.5,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0
0.5,0.158,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0
0.25,0.0496,0.447,0.447,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.0496,0.545,0.545,0.0288,0,0,0,0,0.258,0.465,0,0,0
0.25,0.184,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0
0.25,0.232,0.741,0.741,0.346,0,0,0,0,0.379,0.593,0,0,0
0.5,0.414,0.741,0.741,0.346,0.5,0.0333,0,0,0.499,0.72,0,0,0.0602
0.75,0.739,0.881,0.881,0.593,1,1,0,0,0.725,0.861,0.197,0,0.301
0.75,0.739,0.881,0.881,0.593,0.567,0.0333,0,0,0.725,0.861,0.883,0,0
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0.211,0,0.18
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.0602
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0.2
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0.168
1,0.299,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0.241
1,0.299,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0
1,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0.0868
1,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0.104
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.12
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.12
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.0602
1,0.051,0.461,0.461,0,1,0,0,0,0.309,0.499,0,0,0
1,0.0496,0.461,0.461,0,1,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,1,0,0,0,0.258,0.465,0,0,0
1,0.075,0.503,0.503,0,1,0,0,0,0.319,0.504,0,0,0.0777
1,0.279,0.601,0.601,0,0.667,0,0,0,0.515,0.636,0,0,0.0155
1,0.279,0.601,0.601,0,0,0,0,0,0.515,0.636,0,0,0.833
1,0.449,0.657,0.657,0,0,0,0,0,0.657,0.787,0,0,0.541
0.5,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.204
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.18
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.343
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.0172
0,0.0496,0.322,0.322,0,0,0,0,0,0.258,0.465,0,0,0.131
0,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.241
0,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.0602
0,0.0496,0.35,0.35,0,0,0,0,0,0.258,0.465,0,0,0.12
0,0.0496,0.35,0.35,0,0,0,0,0,0.258,0.465,0,0,0.0602
0,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.0602
0,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.241
0,0.0496,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0
0,0.0496,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0
0,0.0496,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0
0,0.0496,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0
0,0.0496,0.447,0.447,0,0,0,0,0,0.258,0.465,0,0,0
0.25,0.158,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0
0.5,0.319,0.545,0.545,0.0288,0,0,0,0,0.402,0.682,0,0,0
0.5,0.319,0.545,0.545,0.0288,0,0,0,0,0.402,0.682,0,0,0
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0
1,0.779,0.741,0.741,0.346,1,0,0,0,0.741,0.974,0,0,0
0.75,0.739,0.881,0.881,0.593,0.533,0,0,0,0.725,0.861,0,0,0
0.5,0.509,0.881,0.881,0.593,0,0,0,0,0.569,0.729,0,0,0
0.5,0.525,0.937,0.937,0.683,0,0,0,0,0.597,0.701,0,0,0
0.5,0.525,0.937,0.937,0.683,0,0,0,0,0.597,0.701,0,0,0
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0.12
