occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0.0529
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.165
1,0.1,0.503,0.503,0,0,0,0,0,0.381,0.542,0,0,0
1,0.279,0.601,0.601,0,0.5,0,0,0,0.515,0.636,0,0,0.0953
0.75,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0.187
0.75,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0
0.75,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.215
0.75,0.37,0.475,0.475,0,0,0.6,0,0,0.421,0.72,0.127,0,0.231
0.5,0.263,0.475,0.475,0,0,1,0,0,0.367,0.635,0.451,0,0
0.5,0.27,0.322,0.322,0,0,0.533,0,0,0.29,0.635,0.248,0,0.0529
0.75,0.38,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0.159
0.75,0.37,0.336,0.336,0,0,0,0,0,0.316,0.72,0,0,0.106
0.75,0.37,0.336,0.336,0,0,0,0.1,0,0.316,0.72,0,0,0.0529
0.75,0.357,0.35,0.35,0,0,0,0.367,0.133,0.327,0.735,0,0.338,0.264
0.5,0.254,0.35,0.35,0,0,0,0,1,0.304,0.645,0,0.274,0
0.75,0.347,0.336,0.336,0,0,0,0,1,0.316,0.749,0,0.302,0.0529
0.75,0.347,0.336,0.336,0,0,0,0,0.0333,0.316,0.749,0,0.736,0.0529
0.75,0.344,0.392,0.392,0,0.5,0,0,0,0.358,0.749,0,0.171,0
0.75,0.344,0.392,0.392,0,0,0,0,0,0.358,0.749,0,0,0
0.75,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0.159
0.75,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0.0529
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.0529
1,0.485,0.447,0.447,0,0,0,0,0,0.447,0.862,0,0,0.109
1,0.588,0.545,0.545,0.0288,0.3,0,0,0,0.545,0.899,0,0,0
1,0.588,0.545,0.545,0.0288,0.2,0,0,0,0.545,0.899,0,0,0
1,0.779,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.479
1,0.779,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.139
