occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.0526
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.105
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.0905
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0.217
1,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.196
1,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.0326
0.75,0.157,0.475,0.475,0,0,0,0,0,0.312,0.55,0,0,0.11
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.114
0.5,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0.049
0.5,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0.179
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.268
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.0526
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0.198,0
0.5,0.254,0.35,0.35,0,0,0,0.667,0,0.304,0.645,0,0.152,0.158
0.5,0.248,0.336,0.336,0,0,0,1,0,0.297,0.654,0,0.172,0.0526
0.5,0.149,0.336,0.336,0,0,0,1,0,0.277,0.56,0,0.563,0.0526
0.25,0.148,0.392,0.392,0,0,0,1,0.1,0.291,0.56,0,0.724,0
0.25,0.148,0.392,0.392,0,0,0,1,1,0.291,0.56,0,0.416,0
0.25,0.149,0.433,0.433,0,0,0,0.167,1,0.302,0.555,0,0.126,0
0.25,0.149,0.433,0.433,0,0,0,0,0.6,0.302,0.555,0,0,0
0.25,0.158,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0.035
0.25,0.158,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0.249
0.25,0.184,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0.0931
0.25,0.184,0.545,0.545,0.0288,0.833,0,0,0,0.33,0.574,0,0,0.147
0.5,0.414,0.741,0.741,0.346,0.2,0,0,0,0.499,0.72,0,0,0
0.5,0.414,0.741,0.741,0.346,0,0,0,0,0.499,0.72,0,0,0.168
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.608
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.181
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.0526
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.21
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0.0526
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0.218,0
1,0.491,0.965,0.965,0.679,0,0,0.667,0,0.788,0.749,0,0.384,0.263
1,0.424,0.825,0.825,0.132,0.333,0,1,0.0333,0.683,0.678,0,0,0.105
1,0.424,0.825,0.825,0.132,0.167,0,1,1,0.683,0.678,0,0,0.105
1,0.0996,0.699,0.699,0.0658,0,0,0.233,1,0.368,0.518,0,0,0.158
1,0.0996,0.699,0.699,0.0658,0,0,0,0.133,0.368,0.518,0,0,0
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0682,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0.0526
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.158
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0.0526
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.0526
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.158
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.104
1,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
1,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.293
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.227
0.5,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.138
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.279
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.231
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.232
0.5,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.158
0.25,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.24
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.234
0,0.0496,0.336,0.336,0,0,0,0,0,0.258,0.465,0,0,0.0526
0,0.0496,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0.105
0,0.0496,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0.0526
0,0.0496,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0.0526
0,0.0496,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0
0,0.0496,0.447,0.447,0,0,0,0,0,0.258,0.465,0,0,0.0526
0,0.0496,0.447,0.447,0,0,0,0,0,0.258,0.465,0,0,0.368
0,0.0496,0.545,0.545,0.0288,0,0,0,0,0.258,0.465,0,0,0.0526
0,0.0496,0.545,0.545,0.0288,0,0,0,0,0.258,0.465,0,0,0.105
0.25,0.232,0.741,0.741,0.346,0.333,0,0,0,0.379,0.593,0,0,0
0.5,0.414,0.741,0.741,0.346,0.167,0,0,0,0.499,0.72,0,0,0.213
0.25,0.279,0.881,0.881,0.593,0.5,0,0,0,0.414,0.597,0,0,0.117
0.5,0.279,0.881,0.881,0.593,0,0,0,0,0.414,0.597,0,0,0
0.5,0.287,0.937,0.937,0.683,0,0,0,0,0.428,0.583,0,0,0.23
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0,0,0.098
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0.464
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0.0607
