occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.068,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.068,0.559,0.559,0,0,0,0,0,0.333,0.513,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.105
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0508,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0.0888
1,0.0508,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0.14
1,0.0748,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.0748,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.29
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0.173
0.75,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0.152
0.75,0.348,0.657,0.657,0,0.5,0,0,0,0.557,0.706,0,0,0.252
0.75,0.369,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0.089
0.75,0.369,0.475,0.475,0,0.567,0,0,0,0.421,0.72,0,0,0.15
0.75,0.379,0.322,0.322,0,0.467,0,0,0,0.306,0.72,0,0,0.179
0.75,0.379,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0.0586
0.5,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0.302
0.5,0.263,0.336,0.336,0,0.0667,0,0,0,0.297,0.635,0,0,0.385
0.5,0.253,0.35,0.35,0,0.433,0,0,0,0.304,0.645,0,0,0.0526
0.5,0.253,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.244
0.5,0.247,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0
0.25,0.148,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.158
0.25,0.147,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0
0,0.0494,0.392,0.392,0,0,0,0,0,0.258,0.465,0,0,0.105
0.25,0.147,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0
0,0.0494,0.433,0.433,0,0,0,0,0,0.258,0.465,0,0,0.0526
0.25,0.15,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0
0.25,0.15,0.447,0.447,0,0,0,0,0,0.305,0.564,0,0,0.0526
0.25,0.161,0.545,0.545,0.0288,0,0,0,0,0.33,0.574,0,0,0
0.75,0.385,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0
0.75,0.476,0.741,0.741,0.346,0.5,0,0,0,0.62,0.847,0,0,0.0526
0.75,0.476,0.741,0.741,0.346,0.0667,0,0,0,0.62,0.847,0,0,0
0.75,0.627,0.881,0.881,0.593,0.433,0,0,0,0.725,0.861,0,0,0.206
0.75,0.627,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.0705
0.5,0.519,0.937,0.937,0.683,0,0,0,0,0.597,0.701,0,0,0.122
0.5,0.519,0.937,0.937,0.683,0,0,0,0,0.597,0.701,0,0,0.263
0.5,0.514,0.993,0.993,1,0,0,0,0,0.625,0.673,0,0,0.105
0.5,0.514,0.993,0.993,1,0,0,0,0,0.625,0.673,0,0,0.0526
0.5,0.424,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0.297
0.75,0.611,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.132
0.75,0.267,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0.202
1,0.158,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.0526
1,0.0494,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0.158
1,0.0494,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0494,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
