occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.106
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.051,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0
1,0.051,0.461,0.461,0,0,0,0,0,0.309,0.499,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0
1,0.075,0.503,0.503,0,0,0,0,0,0.319,0.504,0,0,0.273
1,0.202,0.601,0.601,0,0,0,0,0,0.43,0.579,0,0,0
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0.402
0.75,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
0.75,0.249,0.657,0.657,0,0,0,0,0,0.457,0.626,0,0,0.377
0.75,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0.38
0.75,0.37,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.106
0.5,0.27,0.322,0.322,0,0,0,0,0,0.29,0.635,0,0,0.283
0.25,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.106
0.25,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.053
0.25,0.152,0.35,0.35,0,0,0,0,0,0.281,0.555,0,0,0.212
0.5,0.254,0.35,0.35,0,0.3,0,0,0,0.304,0.645,0,0,0.106
0.5,0.248,0.336,0.336,0,0.733,0,0,0,0.297,0.654,0,0,0.212
0.25,0.149,0.336,0.336,0,0,0,0,0,0.277,0.56,0,0,0.212
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0
0.25,0.148,0.392,0.392,0,0,0,0,0,0.291,0.56,0,0,0.053
0.25,0.149,0.433,0.433,0,0,0,0,0,0.302,0.555,0,0,0.053
0.5,0.249,0.433,0.433,0,0.3,0,0,0,0.346,0.645,0,0,0
0.5,0.267,0.447,0.447,0,0.2,0,0,0,0.353,0.664,0,0,0
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0,0,0
0.75,0.453,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0.176
0.75,0.453,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0.1
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.106
0.75,0.597,0.741,0.741,0.346,0,0,0,0,0.62,0.847,0,0,0.439
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0,0,0.124
1,0.968,0.881,0.881,0.593,0,0,0,0,0.881,0.993,0,0,0.199
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0,0,0.159
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0,0,0.106
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.491,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.318
1,0.491,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.159
1,0.424,0.825,0.825,0.132,0,0,0,0,0.683,0.678,0,0,0.318
