occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.156
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.601,0.601,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.601,0.601,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.657,0.657,0,0,0,0,0,0.258,0.465,0,0,0.048
1,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0.048
1,0.157,0.475,0.475,0,0,0,0,0,0.312,0.55,0,0,0.0768
1,0.263,0.475,0.475,0,0,0,0,0,0.367,0.635,0,0,0
0.75,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0
0.75,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0
0.75,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0
1,0.263,0.336,0.336,0,0,0,0,0,0.297,0.635,0,0,0
1,0.357,0.35,0.35,0,0,0,0,0,0.327,0.735,0,0,0
1,0.357,0.35,0.35,0,0,0,0,0,0.327,0.735,0,0,0.0521
1,0.347,0.336,0.336,0,0,0,0,0,0.316,0.749,0,0,0
1,0.347,0.336,0.336,0,0,0,0,0,0.316,0.749,0,0,0
1,0.442,0.392,0.392,0,0.133,0,0,0,0.392,0.843,0,0,0
0.75,0.344,0.392,0.392,0,0.367,0,0,0,0.358,0.749,0,0,0.0521
0.75,0.348,0.433,0.433,0,0,0.467,0,0,0.39,0.735,0.524,0,0.0521
0.75,0.348,0.433,0.433,0,0,0.6,0,0,0.39,0.735,0.677,0,0.0521
0.5,0.267,0.447,0.447,0,0,0,0,0,0.353,0.664,0.207,0,0
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.0521
0.75,0.453,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0.0521
0.75,0.453,0.545,0.545,0.0288,0.133,0,0,0,0.473,0.791,0,0,0.156
0.75,0.597,0.741,0.741,0.346,1,0,0,0,0.62,0.847,0,0,0
0.75,0.597,0.741,0.741,0.346,1,0,0,0,0.62,0.847,0,0,0.414
1,0.968,0.881,0.881,0.593,1,0,0,0,0.881,0.993,0,0,0.336
0.75,0.739,0.881,0.881,0.593,0.467,0,0,0,0.725,0.861,0,0,0.156
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.209
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.313
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0.156
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0.0521
0.75,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0
0.75,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.313
0.75,0.0996,0.699,0.699,0.0658,0,0,0,0,0.368,0.518,0,0,0.261
0.75,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.156
0.75,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0.0992
0.75,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
0.75,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0
1,0.126,0.601,0.601,0,0,0,0,0,0.344,0.522,0,0,0
1,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0,0
0.75,0.249,0.657,0.657,0,0.633,0,0,0,0.457,0.626,0,0,0
0.75,0.37,0.475,0.475,0,0.4,0,0,0,0.421,0.72,0,0,0
0.75,0.37,0.475,0.475,0,0,0,0,0,0.421,0.72,0,0,0
0.75,0.38,0.322,0.322,0,0,0,0,0,0.306,0.72,0,0,0
0.75,0.16,0.322,0.322,0,0,0,0,0,0.274,0.55,0,0,0.104
0.75,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.104
0.75,0.157,0.336,0.336,0,0,0,0,0,0.277,0.55,0,0,0.104
0.75,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0.261
0.75,0.254,0.35,0.35,0,0,0,0,0,0.304,0.645,0,0,0
0.75,0.248,0.336,0.336,0,0,0,0,0,0.297,0.654,0,0,0.209
0.75,0.347,0.336,0.336,0,0,0,0,0,0.316,0.749,0,0,0
0.75,0.344,0.392,0.392,0,0,0,0,0,0.358,0.749,0,0,0.0521
0.75,0.344,0.392,0.392,0,0,0,0,0,0.358,0.749,0,0,0.104
0.75,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0.156
0.75,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.104
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.156
0.75,0.453,0.545,0.545,0.0288,0,0,0,0,0.473,0.791,0,0,0
0.75,0.453,0.545,0.545,0.0288,0.133,0,0,0,0.473,0.791,0,0,0.104
0.75,0.597,0.741,0.741,0.346,0.367,0,0,0,0.62,0.847,0,0,0
0.5,0.414,0.741,0.741,0.346,0,0,0,0,0.499,0.72,0,0,0.204
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.0841
0.75,0.739,0.881,0.881,0.593,0,0,0,0,0.725,0.861,0,0,0.156
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0.156
0.75,0.762,0.937,0.937,0.683,0,0,0,0,0.767,0.819,0,0,0
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0
0.75,0.645,0.993,0.993,1,0,0,0,0,0.809,0.777,0,0,0
0.75,0.491,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.209
0.75,0.344,0.965,0.965,0.679,0,0,0,0,0.611,0.654,0,0,0.0336
1,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.0521
1,0.174,0.825,0.825,0.132,0,0,0,0,0.4,0.536,0,0,0.0711
1,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.699,0.699,0.0658,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0.104
1,0.0496,0.559,0.559,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.258,0.465,0,0,0
