occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0496,0.559,0.559,0,0,0,0,0,0.26,0.465,0,0,0.0583
1,0.0496,0.559,0.559,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.26,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.26,0.465,0,0,0.112
1,0.279,0.601,0.601,0,0.5,0,0,0,0.519,0.636,0,0,0.0202
0.75,0.202,0.601,0.601,0,0,0,0,0,0.433,0.579,0,0,0.101
0.75,0.249,0.657,0.657,0,0,0,0,0,0.461,0.626,0,0,0.16
0.5,0.149,0.657,0.657,0,0,0,0,0,0.36,0.546,0,0,0.0183
0.5,0.157,0.475,0.475,0,0,0,0,0,0.314,0.55,0,0,0.438
0.5,0.157,0.475,0.475,0,0,0,0,0,0.314,0.55,0,0,0
0.25,0.0496,0.322,0.322,0,0,0,0,0,0.26,0.465,0,0,0
0.25,0.16,0.322,0.322,0,0,0,0,0,0.276,0.55,0,0,0.117
0.25,0.157,0.336,0.336,0,0,0,0,0,0.279,0.55,0,0,0.117
0.25,0.157,0.336,0.336,0,0,0,0,0,0.279,0.55,0,0,0.0583
0.25,0.152,0.35,0.35,0,0,0,0,0,0.283,0.555,0,0,0.0583
0.25,0.152,0.35,0.35,0,0,0,0,0,0.283,0.555,0,0,0.175
0.25,0.149,0.336,0.336,0,0.5,0,0,0,0.279,0.56,0,0,0
